공장명,브랜드,모델명,모델 구분,트림명,차량구분,연료구분,차량형태,전장,전폭,전고,CO2배출량,배기량,공차중량,연비,부품명,재고량,생산상태,차종,차종트림
튀르키예공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,인포테인먼트,228,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
브라질공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,타이어,68,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
울산공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,헤드램프,176,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
인도공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,배터리,85,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
앨라배마공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,에어컨 컴프레서,123,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
전주공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,인포테인먼트,70,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
인도네시아공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,타이어,241,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
인도네시아공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,헤드램프,252,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
중국공장,현대,아이오닉6,LongRange,E-Lite,중형,전기,세단,4855,1880,1495,0,0,1930,6,ABS 모듈,117,생산중,아이오닉6 E-Lite,아이오닉6 E-Lite
중국공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,모터,102,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
인도공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,변속기,243,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
튀르키예공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,인포테인먼트,89,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
아산공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,타이어,287,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
앨라배마공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,헤드램프,140,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
앨라배마공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,배터리,120,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
튀르키예공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,에어컨 컴프레서,256,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
아산공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,인포테인먼트,285,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
브라질공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,타이어,203,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
전주공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,헤드램프,199,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
튀르키예공장,현대,아이오닉6,LongRange,Exclusive,중형,전기,세단,4855,1880,1495,0,0,1950,5,ABS 모듈,295,생산중,아이오닉6 Exclusive,아이오닉6 Exclusive
앨라배마공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,모터,119,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
체코공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,변속기,191,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
앨라배마공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,인포테인먼트,263,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
전주공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,타이어,100,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
아산공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,헤드램프,268,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
울산공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,배터리,203,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
싱가포르공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,에어컨 컴프레서,229,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
중국공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,인포테인먼트,188,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
아산공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,타이어,148,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
울산공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,헤드램프,198,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
중국공장,현대,아이오닉6,LongRange,Exclusive+,중형,전기,세단,4855,1880,1495,0,0,2035,6,ABS 모듈,272,생산중,아이오닉6 Exclusive+,아이오닉6 Exclusive+
중국공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,모터,291,생산중,아이오닉6 Prestige,아이오닉6 Prestige
아산공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,변속기,144,생산중,아이오닉6 Prestige,아이오닉6 Prestige
인도네시아공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,인포테인먼트,183,생산중,아이오닉6 Prestige,아이오닉6 Prestige
전주공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,타이어,241,생산중,아이오닉6 Prestige,아이오닉6 Prestige
중국공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,헤드램프,283,생산중,아이오닉6 Prestige,아이오닉6 Prestige
브라질공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,배터리,257,생산중,아이오닉6 Prestige,아이오닉6 Prestige
체코공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,에어컨 컴프레서,125,생산중,아이오닉6 Prestige,아이오닉6 Prestige
인도공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,인포테인먼트,290,생산중,아이오닉6 Prestige,아이오닉6 Prestige
인도공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,타이어,291,생산중,아이오닉6 Prestige,아이오닉6 Prestige
울산공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,헤드램프,293,생산중,아이오닉6 Prestige,아이오닉6 Prestige
싱가포르공장,현대,아이오닉6,LongRange,Prestige,중형,전기,세단,4855,1880,1495,0,0,2055,5,ABS 모듈,258,생산중,아이오닉6 Prestige,아이오닉6 Prestige
인도네시아공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,모터,112,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
튀르키예공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,변속기,251,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
인도공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,인포테인먼트,167,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
인도네시아공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,타이어,214,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
인도공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,헤드램프,105,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
울산공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,배터리,273,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
튀르키예공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,에어컨 컴프레서,237,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
인도네시아공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,인포테인먼트,223,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
전주공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,타이어,98,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
싱가포르공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,헤드램프,207,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
인도네시아공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2505,4,ABS 모듈,256,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
앨라배마공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,모터,213,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
전주공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,변속기,104,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
튀르키예공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,인포테인먼트,55,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
싱가포르공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,타이어,145,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
앨라배마공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,헤드램프,237,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
아산공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,배터리,176,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
울산공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,에어컨 컴프레서,135,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
중국공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,인포테인먼트,126,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
앨라배마공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,타이어,205,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
전주공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,헤드램프,140,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
앨라배마공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2605,4,ABS 모듈,282,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
아산공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,모터,173,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
브라질공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,변속기,69,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
인도네시아공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,인포테인먼트,224,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
싱가포르공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,타이어,213,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
싱가포르공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,헤드램프,196,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
앨라배마공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,배터리,275,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
인도네시아공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,에어컨 컴프레서,53,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
아산공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,인포테인먼트,291,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
인도공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,타이어,150,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
인도공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,헤드램프,106,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
전주공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2625,4,ABS 모듈,165,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
앨라배마공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,모터,70,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
전주공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,변속기,246,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
중국공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,인포테인먼트,287,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
인도공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,타이어,117,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
앨라배마공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,헤드램프,148,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
앨라배마공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,배터리,143,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
브라질공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,에어컨 컴프레서,136,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
튀르키예공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,인포테인먼트,277,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
체코공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,타이어,189,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
튀르키예공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,헤드램프,136,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
아산공장,현대,아이오닉9,기본,익스클루시브,중형,전기,SUV,5060,1980,1790,0,0,2510,4,ABS 모듈,281,생산중,아이오닉9 익스클루시브,아이오닉9 익스클루시브
브라질공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,모터,194,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
전주공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,변속기,150,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
튀르키예공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,인포테인먼트,259,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
체코공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,타이어,261,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
인도공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,헤드램프,69,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
아산공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,배터리,277,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
인도공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,에어컨 컴프레서,248,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
싱가포르공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,인포테인먼트,255,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
앨라배마공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,타이어,89,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
인도공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,헤드램프,82,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
인도네시아공장,현대,아이오닉9,기본,프레스티지,중형,전기,SUV,5060,1980,1790,0,0,2510,4,ABS 모듈,51,생산중,아이오닉9 프레스티지,아이오닉9 프레스티지
앨라배마공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,모터,208,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
전주공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,변속기,68,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
인도네시아공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,인포테인먼트,245,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
앨라배마공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,타이어,68,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
중국공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,헤드램프,221,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
브라질공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,배터리,185,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
중국공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,에어컨 컴프레서,66,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
앨라배마공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,인포테인먼트,108,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
인도공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,타이어,280,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
중국공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,헤드램프,83,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
울산공장,현대,아이오닉9,기본,캘리그래피,중형,전기,SUV,5060,1980,1790,0,0,2510,4,ABS 모듈,299,생산중,아이오닉9 캘리그래피,아이오닉9 캘리그래피
앨라배마공장,현대,아이오닉5,Standard,E-Value+,중형,전기,세단,4715,1940,1585,0,0,2200,4,모터,65,생산중,아이오닉5 E-Value+,아이오닉5 E-Value+
중국공장,현대,아이오닉5,Standard,E-Value+,중형,전기,세단,4715,1940,1585,0,0,2200,4,변속기,229,생산중,아이오닉5 E-Value+,아이오닉5 E-Value+
아산공장,현대,아이오닉5,Standard,E-Value+,중형,전기,세단,4715,1940,1585,0,0,2200,4,인포테인먼트,280,생산중,아이오닉5 E-Value+,아이오닉5 E-Value+
체코공장,현대,아이오닉5,Standard,E-Value+,중형,전기,세단,4715,1940,1585,0,0,2200,4,타이어,147,생산중,아이오닉5 E-Value+,아이오닉5 E-Value+
전주공장,현대,아이오닉5,Standard,E-Value+,중형,전기,세단,4715,1940,1585,0,0,2200,4,헤드램프,242,생산중,아이오닉5 E-Value+,아이오닉5 E-Value+
인도공장,현대,아이오닉5,Standard,E-Value+,중형,전기,세단,4715,1940,1585,0,0,2200,4,배터리,141,생산중,아이오닉5 E-Value+,아이오닉5 E-Value+
